Plant number,Light Level (lux),Mowing height (cm),Soil Moisture,Surface Temperature (C)
1,116,7.5,5,39
2,110,5.8,10,23.3
3,101.5,6.5,2.5,29.4
4,507,3.85,3.55,33.9
5,760.5,4.875,0,39.9
6,873.5,5.8,0,14.9
average,411.4166667,5.720833333,3.508333333,30.06666667
