Plant number,Light Level (lux),Mowing height (cm),Soil Moisture,Surface Temperature (C)
1,388,13,6,19.2
2,782,4,10,29.7
3,204,9.5,10,9.3
4,810,5,9,23.8
5,422,5.5,10,15.8
6,297,5,10,14.8
7,900,6,5,35.6
8,920,4.3,2,30
9,940,6.5,8.5,31.9
10,1170,6,7,27.8
11,1712,8,8,35
12,1001,6,5.5,33
13,789,5.6,8,35
14,81.75,7.625,6.175,20.19475
15,87.825,9.3,4.675,29.625
16,758.75,7,0.6,32
